Date : 2022-04-12 23:18:06
Directory : d:\Mostafa\Dotworks App
Total : 355 files,  259810 codes, 68701 comments, 51591 blanks, all 380102 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
| app\Http\Controllers\Frontend\User\Profile                                                                  |          4 |        295 |         36 |         90 |        421 |
| app\Http\Middleware                                                                                         |         10 |        100 |         86 |         41 |        227 |
| app\Http\Requests                                                                                           |         13 |        370 |        140 |         96 |        606 |
| app\Http\Requests\Service                                                                                   |          1 |         18 |         10 |          5 |         33 |
| app\Http\Requests\User                                                                                      |         11 |        327 |        120 |         86 |        533 |
| app\Http\Requests\User\Order                                                                                |          7 |        126 |         70 |         35 |        231 |
| app\Http\Requests\User\Service                                                                              |          3 |        174 |         40 |         41 |        255 |
| app\Http\Requests\User\UserProfile                                                                          |          1 |         27 |         10 |         10 |         47 |
| app\Models                                                                                                  |         21 |        534 |         49 |        214 |        797 |
| app\Models\Admin                                                                                            |          3 |         42 |         15 |         19 |         76 |
| app\Models\Order                                                                                            |          3 |         80 |          0 |         21 |        101 |
| app\Models\Service                                                                                          |          6 |        132 |          0 |         59 |        191 |
| app\Models\User                                                                                             |          8 |        260 |         34 |        111 |        405 |
| app\Providers                                                                                               |          5 |         89 |         78 |         34 |        201 |
| app\Rules                                                                                                   |          1 |         17 |         18 |          8 |         43 |
| bootstrap                                                                                                   |          1 |         17 |         30 |          9 |         56 |
| config                                                                                                      |         18 |        707 |      1,116 |        323 |      2,146 |
| database                                                                                                    |        103 |      6,536 |        908 |        672 |      8,116 |
| database\Seeder                                                                                             |         21 |      1,034 |        186 |        137 |      1,357 |
| database\data                                                                                               |          1 |        922 |          0 |          1 |        923 |
| database\factories                                                                                          |         17 |        125 |         43 |         69 |        237 |
| database\migrations                                                                                         |         29 |        716 |        293 |        120 |      1,129 |
| database\migrations\first                                                                                   |          7 |        162 |         70 |         29 |        261 |
| database\seederss                                                                                           |         15 |      1,795 |        190 |        170 |      2,155 |
| database\seedersss                                                                                          |         14 |      1,606 |        164 |        155 |      1,925 |
| database\seeds                                                                                              |          6 |        338 |         32 |         20 |        390 |
| public                                                                                                      |         21 |    209,877 |     65,168 |     48,775 |    323,820 |
| public\css                                                                                                  |          6 |     19,568 |        111 |      2,924 |     22,603 |
| public\images                                                                                               |          2 |         13 |          0 |          2 |         15 |
| public\images\vendor                                                                                        |          2 |         13 |          0 |          2 |         15 |
| public\images\vendor\rater-js                                                                               |          2 |         13 |          0 |          2 |         15 |
| public\images\vendor\rater-js\lib                                                                           |          2 |         13 |          0 |          2 |         15 |
| public\js                                                                                                   |         10 |    189,709 |     64,906 |     45,757 |    300,372 |
| public\js\user_panel                                                                                        |          6 |     19,154 |      4,482 |      2,708 |     26,344 |
| public\tailwindcss                                                                                          |          1 |        565 |        112 |         79 |        756 |
| resources                                                                                                   |         96 |     10,099 |        223 |        812 |     11,134 |
| resources\css                                                                                               |          1 |          3 |          0 |          1 |          4 |
| resources\js                                                                                                |         20 |      1,062 |        133 |        213 |      1,408 |
| resources\js\user_panel                                                                                     |         15 |        976 |         78 |        173 |      1,227 |
| resources\js\user_panel\messages                                                                            |          2 |         80 |          0 |         14 |         94 |
| resources\js\user_panel\orders                                                                              |          3 |        238 |         29 |         38 |        305 |
| resources\js\user_panel\profile                                                                             |          5 |        263 |          2 |         48 |        313 |
| resources\js\user_panel\services                                                                            |          3 |        293 |         31 |         62 |        386 |
| resources\js\user_panel\wallet                                                                              |          2 |        102 |         16 |         11 |        129 |
| resources\js\utils                                                                                          |          3 |         60 |          6 |         16 |         82 |
| resources\lang                                                                                              |          5 |        185 |         60 |         25 |        270 |
| resources\lang\en                                                                                           |          4 |        131 |         60 |         24 |        215 |
| resources\sass                                                                                              |         18 |        747 |         16 |        135 |        898 |
| resources\sass\components                                                                                   |          3 |        164 |          0 |         18 |        182 |
| resources\sass\materials                                                                                    |          3 |         74 |          0 |         13 |         87 |
| resources\sass\pages                                                                                        |          1 |         18 |          0 |          3 |         21 |
| resources\sass\user_panel                                                                                   |          7 |        420 |          0 |         76 |        496 |
| resources\sass\user_panel\components                                                                        |          5 |        167 |          0 |         35 |        202 |
| resources\sass\user_panel\components\panel-wrapper                                                          |          4 |         80 |          0 |         27 |        107 |
| resources\views                                                                                             |         52 |      8,102 |         14 |        438 |      8,554 |
| resources\views\admin                                                                                       |         12 |      2,821 |         14 |        201 |      3,036 |
| resources\views\admin\admins                                                                                |          3 |        625 |          6 |         63 |        694 |
| resources\views\admin\auth                                                                                  |          1 |         56 |          0 |          8 |         64 |
| resources\views\admin\layouts                                                                               |          2 |        483 |          0 |         26 |        509 |
| resources\views\admin\services                                                                              |          2 |        412 |          3 |         41 |        456 |
| resources\views\admin\users                                                                                 |          3 |        694 |          5 |         61 |        760 |
| resources\views\auth                                                                                        |          6 |        367 |          0 |         70 |        437 |
| resources\views\auth\passwords                                                                              |          3 |        134 |          0 |         29 |        163 |
| resources\views\frontend                                                                                    |         34 |      4,914 |          0 |        167 |      5,081 |
| resources\views\frontend\includes                                                                           |          5 |        283 |          0 |         12 |        295 |
| resources\views\frontend\layouts                                                                            |          2 |        189 |          0 |         23 |        212 |
| resources\views\frontend\service_order                                                                      |          3 |        531 |          0 |         11 |        542 |
| resources\views\frontend\support                                                                            |          2 |        149 |          0 |          4 |        153 |
| resources\views\frontend\user_panel                                                                         |         19 |      3,082 |          0 |        104 |      3,186 |
| resources\views\frontend\user_panel\messages                                                                |          2 |         89 |          0 |          7 |         96 |
| resources\views\frontend\user_panel\orders                                                                  |          3 |        576 |          0 |          7 |        583 |
